日期,Day,今日学习内容,完成情况,每日题练习,错题重点,下日计划,周回顾
2025-07-28,Day1,考试结构与题型介绍, , , ,准备资源与笔记模板,
2025-07-29,Day2,安装题库App、熟悉工具、资源整理, , , ,第1章 系统知识①,
2025-07-30,Day3,制定笔记格式与题目测试流程, , ,系统结构理解不足,第1章 系统知识视频① + 练题,
2025-07-31,Day4,浏览考试大纲与往年真题结构, , ,错题集中于基础概念,第1章 系统知识视频② + 练题,
2025-08-01,Day5,细化目标，安排每日/每周学习时间, , , ,第1章 系统知识视频③ + 练题,
2025-08-02,Day6,第1章 系统知识视频① + 练题 + 每日一练, , , ,第1章 系统知识视频② + 练题,
2025-08-03,Day7,第1章 系统知识视频② + 练题 + 每日一练, , , ,第1章 系统知识视频③ + 练题,
2025-08-04,Day8,第1章 系统知识视频③ + 练题 + 每日一练, , , ,第1章 系统知识视频④ + 练题,
2025-08-05,Day9,第1章 系统知识视频④ + 练题 + 每日一练, , , ,第2章 程序设计语言基础① + 练题,
2025-08-06,Day10,第2章 程序设计语言基础① + 练题 + 每日一练, , , ,第2章 程序设计语言基础② + 练题,
2025-08-07,Day11,第2章 程序设计语言基础② + 练题 + 每日一练, , , ,第3章 数据结构–线性结构,
2025-08-08,Day12,第3章 数据结构–线性结构 视频 + 练题 + 每日一练, , , ,第3章 数据结构–树 + 练题,
2025-08-09,Day13,第3章 数据结构–树 视频 + 练题 + 每日一练, , , ,第3章 数据结构–图 + 练题,
2025-08-10,Day14,第3章 数据结构–图 视频 + 练题 + 每日一练, , , ,第3章 数据结构–查找 + 练题,
2025-08-11,Day15,第3章 数据结构–查找 视频 + 练题 + 每日一练, , , ,第3章 数据结构–排序 + 练题,
2025-08-12,Day16,第3章 数据结构–排序 视频 + 练题 + 每日一练, , , ,第4章 操作系统① + 练题,
2025-08-13,Day17,第4章 操作系统视频① + 练题 + 每日一练, , , ,第4章 操作系统② + 练题,
2025-08-14,Day18,第4章 操作系统视频② + 练题 + 每日一练, , , ,第4章 操作系统③ + 练题,
2025-08-15,Day19,第4章 操作系统视频③ + 练题 + 每日一练, , , ,第5章 软件工程基础① + 练题,
2025-08-16,Day20,第5章 软件工程基础知识视频① + 练题 + 每日一练, , , ,第5章 软件工程基础② + 练题,
2025-08-17,Day21,第5章 软件工程基础知识视频② + 练题 + 每日一练, , , ,第5章 软件工程基础③ + 练题,
2025-08-18,Day22,第5章 软件工程基础知识视频③ + 练题 + 每日一练, , , ,第6章 结构化开发方法 + 练题,
2025-08-19,Day23,第6章 结构化开发方法 视频 + 练题 + 每日一练, , , ,第7章 面向对象技术视频① + 练题,
2025-08-20,Day24,第7章 面向对象技术视频① + 练题 + 每日一练, , , ,第7章 面向对象技术视频② + 练题,
2025-08-21,Day25,第7章 面向对象技术视频② + 练题 + 每日一练, , , ,第7章 面向对象技术视频③ + 练题,
2025-08-22,Day26,第7章 面向对象技术视频③ + 练题 + 每日一练, , , ,第8章 算法设计与分析 + 练题,
2025-08-23,Day27,第8章 算法设计与分析 视频 + 练题 + 每日一练, , , ,第9章 数据库技术基础① + 练题,
2025-08-24,Day28,第9章 数据库技术基础视频① + 练题 + 每日一练, , , ,第9章 数据库技术基础② + 练题,
2025-08-25,Day29,第9章 数据库技术基础视频② + 练题 + 每日一练, , , ,第9章 数据库技术基础③ + 练题,
2025-08-26,Day30,第9章 数据库技术基础视频③ + 练题 + 每日一练, , , ,第10章 网络与信息安全视频① + 练题,
2025-08-27,Day31,第10章 网络与信息安全基础知识视频① + 练题 + 每日一练, , , ,第10章 网络与信息安全视频② + 练题,
2025-08-28,Day32,第10章 网络与信息安全基础知识视频② + 练题 + 每日一练, , , ,综合知识回顾（第1–5章） + 练题,
2025-08-29,Day33,综合知识回顾（第1–5章） + 练题 + 模拟一练, , , ,综合知识回顾（第6–8章） + 练题,
2025-08-30,Day34,综合知识回顾（第6–8章） + 练题 + 模拟一练, , , ,综合知识回顾（第9–10章） + 练题,
2025-08-31,Day35,综合知识回顾（第9–10章） + 练题 + 模拟一练, , , ,综合题专项训练（限时）,
